"","prolificID","participant","NRemoved","repeatAgree","musicianYN","EmotionalContent","Contour","Dissonance","IntervalVariety","IntervalSize","ImpliedHarmony","Other","Gender","Age","HoursWeekListen","HoursWeekListenJazz","GenresListen","InstrumentYN","Instrument0w","AgeStoppedInstrument","FormalTrainingTypes","YearsFormalTraining","AgeStartedTraining","PrimaryInstrument","AgeStartedPrimary","PrimaryProficiency","PrimaryYears","PrimaryFormalYears","OtherInst1","OtherInst1Years","OtherInst2","OtherInst2Years","OtherInst3","OtherInst3Years","OtherInst4","OtherInst4Years","OtherInst5","OtherInst5Years","ImpProficiency","YearsFormalImp","YearsTheory","GenresPlayed","PrimaryGenre","PlayHours611","ImpHours611","PlayHours1217","ImpHours1217","PlayHours18","ImpHours18","PlayHoursNow","ImpHoursNow","PercentImp","Comments"
"1","57d0badf28d5250001bdd9d2","JN_1",7,0.728813559,0,2,5,5,2,1,5,"The melodies had to go together like if you could put it in any part of the song and know that they went.The songs had to sound similar with a similar or same tempo to help me in choosing if the melodies were related. If the songs went from depressing to happy melodies most likely they weren't related.",2,28,15,0,"Rock,Pop,Country,Hip Hop,Electronic/dance",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none, 57d0badf28d5250001bdd9d2"
"2","58a2fd9334fcb30001053804","JN_2",6,0.644067797,0,3,2,5,5,5,5,NA,2,47,10,1,"Rock,Pop,R&B and Soul,Classical,Metal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","5a84f454ae9a0b0001a9e4e5","JN_3",8,0.542372881,1,3,3,5,3,5,5,"if they shared sequences,  complimented each other, or had a flow such that I felt like one could follow the other.",1,44,3,0,"Pop,Hip Hop,Electronic/dance",1,1,NA,"Instrument lessons,Music theory lessons,Music coursework (high school),Music coursework (college)",1,15,"Guitar",15,"2",15,0.5,"Guitar","15",NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0.5,"Rock,Folk","FOlk",0,0,2,0,1,1,1,0,0,"Some of my answers about my playing experience may not add up because I've dabbled on and off with guitar since I was a teen, but I'm not a natural musician and have a horrible ear so I'm just not very proficient at it."
"4","5b191bb7506a840001ae2645","JN_4",12,0.576271186,0,1,5,3,5,5,1,"I'd like to think I have a good ear for music, honestly I did it mostly by feeling and listening to the beginning and end of each snippet to see if they matched in pitch or tone.",1,21,40,0,"Rock,R&B and Soul,Hip Hop,Electronic/dance,Soul",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Everything was good, the breaks were much appreciated."
"5","5b222aff59f9620001c109cb","JN_5",6,0.644067797,0,5,3,5,5,5,5,NA,1,27,5,0,"Rock,Pop",1,0,25,"None",0,0,"piano",20,"4",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",0,0,"Pop,Classical","various",0,0,0,0,1,3,0,0,70,NA
"6","5b25d6ce7f781600014611dc","JN_6",1,0.576271186,0,2,2,3,5,3,3,"N/a",1,20,8,1,"Pop,R&B and Soul,Electronic/dance,Jazz",1,0,12,"Instrument lessons,Music theory lessons",2,10,"Violin",10,"4",2,0,"Violin","2",NA,NA,NA,NA,NA,NA,NA,NA,"3",0,1,"Classical","Classical",10,0,12,2,0,0,0,0,13,"N/A"
"7","5b5f1cd27757ed000198dcb0","JN_7",8,0.508474576,0,2,3,5,2,5,5,"I think everything is covered by one of the above.",1,24,2,0,"Rock,Classical,Metal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","5b6a87d2cda8590001db8e07","JN_8",3,0.661016949,1,2,3,2,2,1,5,"Whether the melodies sound like they belong in the same song or are connected.",2,39,4,0,"Rock,Pop",1,1,NA,"Instrument lessons,Music theory lessons,Music coursework (high school)",6,8,"Piano",8,"6",17,4,"Guitar","10",NA,NA,NA,NA,NA,NA,NA,NA,"5",0,1,"Pop,Classical","Pop",3,0,2,1,2,1,0,0,35,"None"
"9","5b74b75509cd2c0001edd41d","JN_9",7,0.762711864,1,2,5,5,5,3,5,NA,1,21,10,2,"Rock,Pop,Jazz,Classical,Metal,Folk",1,1,NA,"Instrument lessons,Music theory lessons,Music coursework (high school)",6,8,"saxophone",14,"5",7,3,"Flute","9","Voice","12",NA,NA,NA,NA,NA,NA,"2",0,1,"Jazz,Classical,Folk","jazz",1,0,1,1,3,1,0,0,17,"The survey was VERY long with little variation"
"10","5c05083f891bb400012195d5","JN_11",5,0.559322034,0,2,3,5,5,3,5,"Wel, I tried to figure how I thought the second part of every melody would be, so I'd try to anticipate it.",1,26,15,0,"Rock,Electronic/dance,Metal",1,0,12,"Children's music classes/lessons",6,6,"Flute",6,"3",6,6,"Flute","6",NA,NA,NA,NA,NA,NA,NA,NA,"1",0,8,"Classical","Classical",4,0,0,0,0,0,0,0,1,NA
